Section Name, Call Count, Total Time, Min Time, Max Time, Avg Time, File Name, Function Name, Line Number
Baseline Insertion Sort, 1, 0.182964, 0.182964, 0.182964, 0.182964, ./Code/main.cpp, insertionSort, 80
Array Traversal, 1, 0.182955, 0.182955, 0.182955, 0.182955, ./Code/main.cpp, insertionSort, 78
Single Element Insertion, 9999, 0.179851, 7e-07, 0.000707, 1.79869e-05, ./Code/main.cpp, insertionSort, 76
Element Shifting, 9999, 0.173288, 2e-07, 0.0007003, 1.73306e-05, ./Code/main.cpp, insertionSort, 74
Optimized Insertion Sort - Shifting, 1, 0.191825, 0.191825, 0.191825, 0.191825, ./Code/main.cpp, insertionSortOptimized1, 108
Array Processing, 1, 0.19182, 0.19182, 0.19182, 0.19182, ./Code/main.cpp, insertionSortOptimized1, 106
Element Processing, 9999, 0.188568, 1.1e-06, 0.0003985, 1.88587e-05, ./Code/main.cpp, insertionSortOptimized1, 104
Shift Operation, 9999, 0.175878, 2e-07, 0.0003839, 1.75896e-05, ./Code/main.cpp, insertionSortOptimized1, 98
Key Placement, 9999, 0.0027026, 1e-07, 3.68e-05, 2.70287e-07, ./Code/main.cpp, insertionSortOptimized1, 102
Binary Search Operation, 9999, 0.0821495, 1.3e-06, 0.0001791, 8.21577e-06, ./Code/main.cpp, binarySearch, 135
Search Loop, 9999, 0.0044952, 2e-07, 1.01e-05, 4.49565e-07, ./Code/main.cpp, binarySearch, 129
Optimized Insertion Sort - Binary Search, 1, 0.354518, 0.354518, 0.354518, 0.354518, ./Code/main.cpp, insertionSortOptimized2, 165
Main Sort Loop, 1, 0.354516, 0.354516, 0.354516, 0.354516, ./Code/main.cpp, insertionSortOptimized2, 163
Single Pass, 9999, 0.350474, 8.7e-06, 0.000834, 3.50509e-05, ./Code/main.cpp, insertionSortOptimized2, 161
Position Search, 9999, 0.0896132, 2.3e-06, 0.0001841, 8.96222e-06, ./Code/main.cpp, insertionSortOptimized2, 151
Array Shifting, 9999, 0.248599, 3e-07, 0.0008165, 2.48624e-05, ./Code/main.cpp, insertionSortOptimized2, 158
Optimized Insertion Sort - Early Exit, 1, 1.13e-05, 1.13e-05, 1.13e-05, 1.13e-05, ./Code/main.cpp, insertionSortOptimized3, 199
Sorting Process, 1, 1.02e-05, 1.02e-05, 1.02e-05, 1.02e-05, ./Code/main.cpp, insertionSortOptimized3, 197
Element Insertion, 1, 8.1e-06, 8.1e-06, 8.1e-06, 8.1e-06, ./Code/main.cpp, insertionSortOptimized3, 189
Comparison and Shift, 1, 3e-07, 3e-07, 3e-07, 3e-07, ./Code/main.cpp, insertionSortOptimized3, 186
Early Exit Check, 1, 2e-07, 2e-07, 2e-07, 2e-07, ./Code/main.cpp, insertionSortOptimized3, 193
